ontology,cq_id,question,satisfied,answerable,result_count,answers,query_error,sparql
music,CQ11,What songs were played in a certain performance?,True,True,1,performance=Performance_Portland_2006; song=Hump_de_Bump,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?performance ?song WHERE {
              {
                ?performance a :Cl_Performance ; :performedSong ?song .
              }
              UNION {
                ?event a :Cl_SongInPerformance ;
                  :hasPerformance ?performance ;
                  :hasSong ?song .
              }
            }"
music,CQ12,Where did a certain performance take place?,True,True,1,"performance=Performance_Portland_2006; location=Portland, Oregon, US",,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?performance ?location WHERE {
              ?performance a :Cl_Performance .
              {
                ?performance :performanceLocation ?location .
              }
              UNION {
                ?performance :hasLocation ?location .
              }
            }"
music,CQ13,In what region is a certain city located?,False,False,0,,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?city ?region WHERE {
              ?city a :Cl_City .
              {
                ?city :locatedIn ?region .
              }
              UNION {
                ?city :hasState ?region .
              }
            }"
music,CQ14,In what country is a certain region located?,False,False,0,,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?region ?country WHERE {
              ?region a :Cl_Region .
              {
                ?region :locatedInCountry ?country .
              }
              UNION {
                ?region :inCountry ?country .
              }
            }"
music,CQ15,A record always contains at least one track.,True,True,1,record=Stadium_Arcadium; trackCount=1,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?record (COUNT(DISTINCT ?track) AS ?trackCount) WHERE {
              ?record a ?recordType ; :hasTrack ?track .
              VALUES ?recordType { :Cl_Record :Cl_Album }
            }
            GROUP BY ?record"
hospital,CQ1,What medical degrees does a certain person have?,False,False,0,,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?person ?degree WHERE {
              ?person a :Cl_Person ; :hasDegree ?degree .
            }"
hospital,CQ2,During what time period did a certain person study for a specific degree?,False,False,0,,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?person ?degree ?startDate ?endDate WHERE {
              ?person a :Cl_Person .
              {
                ?association a :Cl_PersonDegree ;
                  :heldBy ?person ;
                  :hasDegree ?degree .
                OPTIONAL { ?association :degreeDate ?startDate . }
              }
              UNION {
                ?person :hasDegree ?degree .
              }
              OPTIONAL { ?association :startDate ?startDate . }
              OPTIONAL { ?association :endDate ?endDate . }
            }"
hospital,CQ3,When was a certain person first employed at a certain hospital?,True,True,1,person=Pasquale_Di_Gennaro; hospital=Ospedale_Riunito_delle_Tre_Valli; startDate=2001-09-21,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?person ?hospital ?startDate WHERE {
              {
                ?event a :Cl_EmploymentEvent ;
                  :hasEmployee ?person ;
                  :hasEmployer ?hospital ;
                  :startDate ?startDate .
              }
              UNION {
                ?person a :Cl_Person ;
                  :employedAt ?hospital .
                OPTIONAL {
                  ?event a :Cl_EmploymentEvent ;
                    :hasEmployee ?person ;
                    :hasEmployer ?hospital ;
                    :startDate ?startDate .
                }
              }
            }"
hospital,CQ4,In what city is a certain hospital located?,True,True,1,hospital=Ospedale_Riunito_delle_Tre_Valli; city=Nocera_Inferiore,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?hospital ?city WHERE {
              ?hospital a :Cl_Hospital ; :locatedInCity ?city .
            }"
hospital,CQ5,In what country is a certain city located?,False,False,0,,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?city ?country WHERE {
              {
                ?city a :Cl_City ; :op_isLocatedInCountry ?country .
              }
              UNION {
                ?country a :Cl_Country ; :op_hasCity ?city .
              }
            }"
hospital,CQ6,Who are the members of a certain union at a certain point in time?,True,True,2,union=Union_MaleNurses; member=Pasquale_Di_Gennaro; startDate=2002-01-01 | union=Union_MaleNurses_OspedaleRiunito; member=Pasquale_Di_Gennaro; startDate=2002-01-01,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?union ?member ?startDate ?endDate WHERE {
              ?membership a :Cl_UnionMembership ;
                :hasUnion ?union ;
                :hasMember ?member .
              OPTIONAL { ?membership :membershipStartDate ?startDate . }
              OPTIONAL { ?membership :membershipEndDate ?endDate . }
            }"
hospital,CQ7,What role does a certain person have within a certain union group at a certain point in time?,True,True,2,person=Pasquale_Di_Gennaro; union=Union_MaleNurses; role=UnionRepresentative_MaleNurses; startDate=2002-01-01 | person=Pasquale_Di_Gennaro; union=Union_MaleNurses_OspedaleRiunito; role=UnionRepresentative_MaleNurses; startDate=2002-01-01,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?person ?union ?role ?startDate ?endDate WHERE {
              ?membership a :Cl_UnionMembership ;
                :hasMember ?person ;
                :hasUnion ?union ;
                :hasRole ?role .
              OPTIONAL { ?membership :membershipStartDate ?startDate . }
              OPTIONAL { ?membership :membershipEndDate ?endDate . }
            }"
hospital,CQ8,What is the evaluation statement given by a certain doctor for a certain employee?,False,False,0,,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?doctor ?employee ?statement WHERE {
              ?evaluation a :Cl_EvaluationStatement ;
                :hasEvaluator ?doctor ;
                :hasEvaluatee ?employee ;
                :hasStatement ?statement .
            }"
hospital,CQ9,What articles is a specific book or CD composed of?,True,True,1,collection=ArticleCollection_2008; article=Article_By_Pasquale,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?collection ?article WHERE {
              ?collection a ?collectionType .
              VALUES ?collectionType { :Cl_Book :Cl_CD :Cl_ArticleCollection }
              {
                ?collection :containsArticle ?article .
              }
              UNION {
                ?collection :hasArticle ?article .
              }
            }"
hospital,CQ10,How many pages does a particular book contain?,True,True,1,book=ArticleCollection_2008; pageCount=346,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?book ?pageCount WHERE {
              ?book a :Cl_Book .
              {
                ?book :hasPageCount ?pageCount .
              }
              UNION {
                ?book :dp_pageCount ?pageCount .
              }
              UNION {
                ?book :pageCount ?pageCount .
              }
            }"
hospital,CQ11,When was a certain book or CD published?,True,True,1,publication=Book_NursePractices2008; published=2008-01-01,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?publication ?published WHERE {
              ?publication a ?publicationType .
              VALUES ?publicationType { :Cl_Book :Cl_CD :Cl_Publication }
              {
                ?publication :hasPublicationDate ?published .
              }
              UNION {
                ?publication :publicationYear ?published .
              }
            }"
hospital,CQ12,When did a certain seminar take place?,True,True,2,seminar=Seminar_2008_December; date=2008-12-01 | seminar=Seminar_Dec2008; date=2008-12-01,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?seminar ?date WHERE {
              ?seminar a :Cl_Seminar .
              {
                ?seminar :seminarDate ?date .
              }
              UNION {
                ?seminar :dp_hasDate ?date .
              }
              UNION {
                ?seminar :hasStartDate ?date .
              }
              UNION {
                ?seminar :hasOccurrence ?occurrence .
                ?occurrence :occurrenceDate ?date .
              }
            }"
hospital,CQ13,What articles were presented in a certain seminar?,True,True,2,seminar=Seminar_Dec2008; article=Article_Pasquale_2008 | seminar=Seminar_Dec2008; article=Article_By_Pasquale,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?seminar ?article WHERE {
              {
                ?presentation :hasPresentationVenue ?seminar ;
                  :hasPresentedArticle ?article .
              }
              UNION {
                ?article :presentedAtSeminar ?seminar .
              }
            }"
hospital,CQ14,Where did a certain seminar take place?,True,True,3,seminar=Seminar_2008_December; location=Ospedale_Riunito_delle_Tre_Valli | seminar=Seminar_Dec2008; location=Ospedale_Riunito_delle_Tre_Valli | seminar=Seminar_Dec2008; location=Hospital_Ospedale_Riunito_delle_Tre_Valli,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?seminar ?location WHERE {
              ?seminar a :Cl_Seminar .
              {
                ?seminar :heldAtHospital ?location .
              }
              UNION {
                ?seminar :op_heldAt ?location .
              }
              UNION {
                ?seminar :hasOccurrence ?occurrence .
                ?occurrence :occurrenceAtLocation ?location .
              }
            }"
hospital,CQ15,At least one article is always presented at each seminar.,True,True,2,seminar=Seminar_Dec2008; article=Article_Pasquale_2008 | seminar=Seminar_Dec2008; article=Article_By_Pasquale,,"PREFIX : <http://www.example.org/ontology/hospital#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?seminar ?article WHERE {
              {
                ?presentation :hasPresentationVenue ?seminar ;
                  :hasPresentedArticle ?article .
              }
              UNION {
                ?article :presentedAtSeminar ?seminar .
              }
            }"
